x,Curve1
1.45714,3423.46
1.99309,3466.77
2.52903,3510.08
3.12412,3542.51
3.65978,3574.95
4.19573,3618.26
4.79081,3650.69
5.32647,3683.13
5.92156,3715.55
6.45722,3747.99
7.05202,3769.55
7.58768,3801.99
8.18219,3812.68
8.77698,3834.23
9.31236,3855.8
9.90658,3855.62
10.4417,3866.32
11.0362,3877.01
11.6304,3876.82
12.2246,3876.64
12.8186,3865.58
13.3531,3854.55
13.947,3843.49
14.5407,3821.57
15.0749,3799.67
15.6682,3766.87
16.2022,3734.1
16.7361,3701.32
17.3292,3657.66
17.8626,3603.15
18.3962,3559.5
18.8702,3505.01
19.4032,3439.63
19.8772,3385.13
20.114,3352.45
20.5282,3287.1
21.0019,3221.74
21.2973,3156.43
21.6527,3112.84
22.0666,3036.63
22.4808,2971.28
22.8948,2895.06
23.3085,2807.98
23.7224,2731.76
24.1361,2644.68
24.4906,2568.48
24.9042,2481.4
25.1402,2416.11
25.4947,2339.91
25.8487,2241.97
26.2029,2154.91
26.5572,2067.84
26.852,1980.79
27.2062,1893.72
27.5602,1795.79
27.855,1708.74
28.1498,1621.69
28.5037,1523.76
28.7986,1436.71
29.0934,1349.66
29.4473,1251.72
29.7421,1164.68
30.5086,936.177
30.8034,849.129
